INSCRIÇÃO;CÓDCURSO;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
1714001;4;C;D;C;E;D;B;D;D;C;A;C;D;A;B;D;A;C;C;D;E;B;B;E;D;B;A;D;B;D;A;D;C;B;C;C;C;B;C;D;D;A;B;B;A;B;E;A;A;D;C;D;A;B;C;B;C;E;B;A;C;D;B;D;D;B;C;E;B;D;A;B;C;D;C;B;A;D;E;B;D;A;D;B;E;C;B;C;A;B;D
1719051;9;B;E;B;E;C;C;A;E;C;B;D;C;A;B;B;D;B;A;B;E;B;D;A;D;C;A;B;A;C;B;A;E;C;C;C;C;A;D;A;E;C;D;;B;D;A;D;E;B;A;B;A;C;B;A;A;A;A;C;E;D;E;C;A;A;C;D;A;A;A;A;D;B;E;B;C;B;D;A;C;B;E;B;B;E;E;A;B;A;A
1719049;9;A;E;A;D;D;E;E;C;C;E;B;D;A;E;D;A;D;B;D;E;D;E;E;D;A;E;B;C;B;A;B;E;C;D;D;D;C;A;A;C;E;B;;C;E;A;A;B;D;D;A;D;B;B;D;B;A;B;E;E;D;E;C;E;C;B;B;D;C;A;B;D;A;A;A;C;E;C;A;C;E;D;A;B;B;C;A;C;A;A
1719048;9;C;D;B;E;D;D;A;D;C;B;B;D;A;A;D;A;D;B;B;E;D;C;C;D;B;D;A;C;D;A;D;C;C;A;E;B;B;E;A;E;C;C;A;A;C;E;C;A;B;E;B;B;B;E;D;D;C;A;A;B;D;D;D;D;B;A;C;B;D;C;B;B;C;E;A;C;C;B;D;B;E;C;C;C;A;D;B;A;A;A
1719047;9;A;;B;B;C;B;E;C;C;C;B;C;D;B;D;B;A;A;D;E;C;D;A;C;E;B;B;A;D;D;B;B;D;B;E;A;C;B;B;B;D;B;;D;A;A;A;A;D;D;B;C;E;D;B;A;B;A;A;E;D;A;C;B;B;B;C;B;E;B;D;D;D;B;C;D;B;E;A;B;B;B;A;C;A;D;B;A;A;A
1719046;9;C;E;D;A;C;B;D;D;C;B;C;D;C;B;D;A;D;A;C;A;E;C;B;D;B;C;B;B;A;A;A;D;C;C;D;B;D;A;C;D;C;B;;B;E;B;D;C;E;E;B;A;B;B;C;A;A;E;A;A;D;E;D;E;B;B;C;A;C;A;A;D;B;E;B;A;A;B;A;D;E;D;A;A;A;E;A;E;A;A
1719045;9;E;D;B;B;A;C;C;C;C;B;C;B;D;A;B;B;E;C;D;A;E;E;E;D;B;C;;A;D;E;A;B;D;C;C;E;C;C;D;E;;C;;B;E;B;D;E;B;E;E;C;D;D;C;D;C;B;E;C;D;E;C;E;B;A;C;A;C;E;B;D;A;D;B;D;B;B;A;B;D;E;A;C;A;D;B;A;A;A
1719044;9;A;B;E;D;D;A;A;D;D;A;E;D;A;E;D;E;D;D;B;E;D;A;E;D;B;A;B;E;B;A;C;D;C;C;C;B;B;A;C;D;D;A;;C;A;C;D;E;B;B;C;A;A;B;A;B;D;A;C;D;E;E;B;A;C;B;C;B;C;C;A;D;E;A;A;E;B;E;C;C;C;B;A;B;D;D;E;D;A;A
1719043;9;A;C;A;C;B;D;D;C;C;B;A;D;A;D;D;A;B;A;B;E;B;D;B;D;B;C;B;A;A;B;D;D;C;A;C;B;A;D;B;A;A;E;;B;D;A;D;B;A;D;A;D;C;B;C;C;A;B;A;B;C;E;C;B;B;C;E;A;C;B;B;E;D;D;E;E;A;B;E;C;E;E;A;B;E;E;A;B;A;A
1719042;9;C;D;C;B;D;A;C;C;B;D;B;D;B;C;A;B;E;C;B;E;D;A;D;D;B;D;D;C;B;D;B;A;C;A;D;C;B;D;C;B;D;C;;D;B;A;A;A;B;D;B;B;C;D;B;C;D;B;A;E;D;A;D;E;C;C;C;D;B;A;D;D;A;D;B;D;D;C;A;C;E;D;A;C;D;D;A;D;D;A
